City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
351,Bridgend,GB,49.98,51.5058,-3.5772,Best Western Heronston Hotel & Spa
352,Tuatapere,NZ,60.94,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
354,Muros,ES,61.09,42.7762,-9.0603,Apartment Av. Castelao
366,Wajima,JP,54.28,37.4,136.9,Wajima Onsen Yashio
373,Biograd Na Moru,HR,57.9,43.9433,15.4519,Villa Maimare
377,Ardakan,IR,58.08,32.31,54.0175,Ardakan Hotel
381,Shimoda,JP,62.96,34.6667,138.95,Shimoda Tokyu Hotel
383,Saint-Paul-Les-Dax,FR,63.12,43.7272,-1.0516,"The Originals City, Hôtel Les Thermes de l'Avenue, Dax (Inter-Hotel)"
385,Collie,AU,60.51,-33.3667,116.15,Collie Ridge
401,Gat,IL,64.4,31.61,34.7642,OlusHome
407,Grindavik,IS,48.15,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
409,Qunduz,AF,47.59,36.729,68.857,Spin Zar cotton company
411,Roseto Degli Abruzzi,IT,58.95,42.6664,14.0227,Villa Rosella Resort
415,Tacuarembo,UY,64.81,-31.7333,-55.9833,Complejo San Fructuoso
418,Fukue,JP,61.16,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
423,Dembi Dolo,ET,55.6,8.5333,34.8,Dembi dollo plaza
435,Callaway,US,51.73,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
437,Jishou,CN,57.04,28.3167,109.7167,7 Days Inn
439,Dubbo,AU,62.73,-32.25,148.6167,Quality Inn Dubbo International
446,Tahta,EG,63.57,26.7693,31.5021,فندق الزيات
454,Pokhara,NP,60.01,28.2333,83.9833,OYO 170 Hotel View Point
456,Sabratah,LY,64.94,32.7933,12.4885,محمد علي شويه
466,Maneadero,MX,62.1,31.7167,-116.5667,Casa De Thompson
468,Te Anau,NZ,59.68,-45.4167,167.7167,Kingsgate Hotel Te Anau
469,Camalu,MX,62.44,30.85,-116.0667,La Cueva del Pirata
473,Nantucket,US,48.31,41.2835,-70.0995,Jared Coffin House
477,Constantine,DZ,60.21,36.365,6.6147,Grand Hotel Cirta
481,Roald,NO,51.94,62.5833,6.1333,Flem Cabins
483,Puerto Madryn,AR,61.16,-42.7692,-65.0385,Hotel Tolosa
490,Mikuni,JP,55.31,36.2171,136.1519,Seifuso
491,Karatoulas,GR,62.6,37.7333,21.5333,Spétzes
500,Faya,SA,51.91,18.3851,42.4509,شيلة نسايم
501,Coihaique,CL,53.55,-45.5752,-72.0662,Diego De Almagro Coyhaique
502,Constitucion,CL,56.88,-35.3333,-72.4167,Hotel Boutique Las Azucenas
503,Yatou,CN,59.18,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
506,Gondar,ET,54.41,12.6,37.4667,L Shape Hotel
509,Laguna,US,59.14,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
512,Ponta Delgada,PT,63.5,37.7333,-25.6667,Vila Nova Hotel
516,Northam,GB,51.26,51.0333,-4.2167,Durrant House Hotel
517,Mingaora,PK,47.17,34.7758,72.3625,Burj Al Swat
521,Suicheng,CN,62.98,33.8963,117.9331,Junyue Hotel
522,Half Moon Bay,US,61.61,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
530,Limoux,FR,58.71,42.9167,2.1667,Domaine de l'Espinet
535,Rocha,UY,58.69,-34.4833,-54.3333,Hotel Arrarte
540,Tiberias,IL,63.45,32.7922,35.5312,Aviv Hostel
555,Galveston,US,53.56,29.3669,-94.9669,Crystal Suites
560,Seoul,KR,53.17,37.5683,126.9778,LOTTE HOTEL SEOUL
561,Kutum,SD,59.11,14.2,24.6667,Dibbo areaمنطقة دبو
563,Asfi,MA,64.29,32.2994,-9.2372,Hôtel Abda
567,Tamiahua,MX,63.63,21.2667,-97.45,Mission Of The Sun Hotel
573,Poopo,BO,48.87,-18.3667,-66.9667,turistico HOTEL
582,Guilin,CN,59.11,25.2819,110.2864,Grand 0773 Hotel
585,Nola,IT,64.92,40.922,14.5329,Palazzo Giordano Bruno
592,Faro,PT,64.18,37.0194,-7.9322,Hotel Faro & Beach Club
595,Guangshui,CN,59.95,31.6199,113.9978,广水市雅瑞假日生态园
596,Leshan,CN,59.45,29.5623,103.7639,Leshan Haiyun International Youth Hostel
601,Santiago De Cao,PE,62.73,-7.9589,-79.2392,Casa de la tía
606,Longuenesse,FR,53.71,50.734,2.2352,ibis Saint-Omer Centre
608,Havelock,US,54.93,34.8791,-76.9013,Sherwood Motel
609,San Quintin,MX,61.52,30.4833,-115.95,Don Eddie's Sport Fishing Center
614,Chizhou,CN,57.6,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
619,Saint-Denis,FR,56.17,48.9167,2.3333,ibis budget Paris Porte de Montmartre
620,Shingu,JP,62.64,33.7333,135.9833,Shingu UI Hotel
622,Hays,US,46.96,30.0502,-98.0336,CHAPEL HOME
625,Trabzon,TR,55.49,40.9167,39.8333,SANDALS HOTEL
631,Kruisfontein,ZA,57.88,-34.0033,24.7314,Oyster Bay House Rental
632,Mpika,ZM,62.56,-11.8343,31.4529,Melodies Lodge
633,Raudeberg,NO,47.07,61.9875,5.1352,Nordre Silda.
639,Tabas,IR,53.82,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
640,Mkushi,ZM,64.13,-13.6202,29.3939,Mkushi Police Club
651,Erzin,TR,57.99,36.9559,36.2,Artemis Otel
653,Along,IN,63.1,28.1667,94.7667,Hotel West
656,Huejuquilla El Alto,MX,57.47,22.6,-103.8667,Hotel Huexuquillan
658,Stuttgart,DE,51.53,48.7823,9.177,Hotel Unger
660,Westport,US,45.75,41.1415,-73.3579,The Westport Inn
667,Chipinge,ZW,62.29,-20.1883,32.6236,Chipinge Breeze Lodge
669,Dandong,CN,47.62,40.1292,124.3947,Yiranju Farmstay
672,Loralai,PK,47.23,30.3705,68.598,Saddam Hotel & Resturant
677,Marsa Matruh,EG,64.62,31.3525,27.2453,Beau Site
678,Ruhengeri,RW,59.04,-1.4998,29.635,Relay's Gorillas Hotel
679,Vestmanna,FO,49.12,62.1564,-7.1664,Budget Guesthouse Borgustova
685,Muroto,JP,62.58,33.2833,134.15,Oota Ryokan
