City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Saint-Philippe,-21.3585,55.7679,65.79,75,19,5.68,RE,2022-11-17 01:30:43
67,Sokolo,14.7328,-6.1219,75.97,17,37,8.75,ML,2022-11-17 01:30:43
68,Ostrovnoy,68.0531,39.5131,30.63,88,100,10.13,RU,2022-11-17 01:30:43
69,Biak,-0.9131,122.8766,82.71,74,100,4.85,ID,2022-11-17 01:30:44
70,Mangan,27.5167,88.5333,62.91,54,62,0.89,IN,2022-11-17 01:30:44
71,Surgut,61.25,73.4167,-15.92,75,0,2.24,RU,2022-11-17 01:29:11
72,Abha,18.2164,42.5053,51.62,50,0,0.0,SA,2022-11-17 01:30:44
73,Broome,42.2506,-75.833,36.19,83,100,11.5,US,2022-11-17 01:30:45
74,Moshenskoye,58.5102,34.5911,28.36,96,100,6.44,RU,2022-11-17 01:30:45
75,Upata,8.0086,-62.3989,71.08,95,100,3.51,VE,2022-11-17 01:30:45
76,Loiza,18.4313,-65.8802,81.07,83,40,11.5,PR,2022-11-17 01:30:46
77,Talnakh,69.4865,88.3972,-29.99,99,59,2.13,RU,2022-11-17 01:30:46
78,Ca Mau,9.1769,105.15,84.6,72,59,11.74,VN,2022-11-17 01:30:46
79,Semnan,35.5729,53.3971,49.84,37,75,2.3,IR,2022-11-17 01:30:47
80,Kirakira,-10.4544,161.9205,83.01,80,72,5.35,SB,2022-11-17 01:30:47
81,Torbay,47.6666,-52.7314,33.58,79,100,5.75,CA,2022-11-17 01:30:47
82,Iqaluit,63.7506,-68.5145,8.33,85,100,14.97,CA,2022-11-17 01:28:46
83,Taksimo,56.3444,114.8794,13.23,86,90,0.36,RU,2022-11-17 01:30:48
84,Komsomolskiy,40.4272,71.7189,36.32,80,9,0.0,UZ,2022-11-17 01:30:48
85,Lucea,18.451,-78.1736,80.46,82,61,9.15,JM,2022-11-17 01:30:48
86,Ust-Ishim,57.6935,71.1665,-8.3,95,22,3.98,RU,2022-11-17 01:30:49
87,Usinsk,65.9939,57.5281,-11.04,96,15,9.95,RU,2022-11-17 01:30:49
88,Kaduna,10.5222,7.4383,67.21,37,4,6.22,NG,2022-11-17 01:28:10
89,Garden City,42.3256,-83.331,35.89,90,100,11.5,US,2022-11-17 01:30:49
90,Sugod,12.987,124.0805,82.13,84,69,8.97,PH,2022-11-17 01:30:50
91,Achinsk,56.2694,90.4993,26.67,95,100,14.12,RU,2022-11-17 01:30:51
92,Garowe,8.4054,48.4845,70.38,76,5,9.06,SO,2022-11-17 01:30:52
93,Batasan,12.7667,120.7833,84.33,67,100,0.63,PH,2022-11-17 01:30:52
94,Sur,22.5667,59.5289,74.84,74,5,1.86,OM,2022-11-17 01:31:52
95,Kapaa,22.0752,-159.319,80.58,66,75,11.5,US,2022-11-17 01:31:53
96,Wlingi,-8.0776,112.3311,84.27,67,91,2.8,ID,2022-11-17 01:31:53
